State,Agency Type,Agency Name,Location,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society",Latitude,Longitude
ALABAMA,Cities,Abbeville,"Abbeville, Alabama",2390,301,96,76,129,31.5664,-85.2514
ALABAMA,Cities,Adamsville,"Adamsville, Alabama",4233,528,72,332,124,33.6009,-86.9561
ALABAMA,Cities,Addison,"Addison, Alabama",672,72,20,41,11,34.2017,-87.1766
ALABAMA,Cities,Alabaster,"Alabaster, Alabama",33974,"1,524",293,979,252,33.2312,-86.8238
ALABAMA,Cities,Alexander City,"Alexander City, Alabama",14476,"1,834",696,816,322,32.9332,-85.9360
ALABAMA,Cities,Aliceville,"Aliceville, Alabama",2081,13,5,7,1,33.1263,-88.1544
ALABAMA,Cities,Andalusia,"Andalusia, Alabama",8699,859,405,404,50,31.3090,-86.4790
ALABAMA,Cities,Anniston,"Anniston, Alabama",21007,"2,825",991,"1,569",265,33.6630,-85.8267
ALABAMA,Cities,Arab,"Arab, Alabama",8550,"1,064",342,488,234,34.3279,-86.4986
ALABAMA,Cities,Ardmore,"Ardmore, Alabama",1406,59,11,36,12,34.9871,-86.8432
ALABAMA,Cities,Argo,"Argo, Alabama",4421,83,23,36,24,33.6818,-86.5305
ALABAMA,Cities,Ashford,"Ashford, Alabama",2255,30,13,14,3,31.1858,-85.2359
ALABAMA,Cities,Ashland,"Ashland, Alabama",1962,143,72,58,13,33.2722,-85.8369
ALABAMA,Cities,Ashville,"Ashville, Alabama",2376,163,33,65,65,33.8437,-86.2663
ALABAMA,Cities,Athens,"Athens, Alabama",28438,"1,601",409,"1,029",163,34.7917,-86.9667
ALABAMA,Cities,Atmore,"Atmore, Alabama",8536,"1,560",500,646,414,31.0232,-87.4921
ALABAMA,Cities,Attalla,"Attalla, Alabama",5840,623,108,400,115,34.0098,-86.0984
ALABAMA,Cities,Auburn,"Auburn, Alabama",80759,"3,365",827,"1,662",876,32.5977,-85.4808
ALABAMA,Cities,Autaugaville,"Autaugaville, Alabama",787,12,3,3,6,32.4324,-86.6534
ALABAMA,Cities,Bay Minette,"Bay Minette, Alabama",8000,851,229,226,396,30.8834,-87.7772
ALABAMA,Cities,Bayou La Batre,"Bayou La Batre, Alabama",2166,563,139,218,206,30.4033,-88.2481
ALABAMA,Cities,Bear Creek,"Bear Creek, Alabama",1047,78,6,36,36,34.2748,-87.7006
ALABAMA,Cities,Berry,"Berry, Alabama",1193,52,8,9,35,33.6578,-87.6061
